Pred_Label,Min_TP_Confidence
Abudefduf_sparoides,0.60212076
Abudefduf_vaigiensis,0.98159444
Acanthurus_leucosternon,0.8808766
Acanthurus_lineatus,0.9465507
Acanthurus_tennenti,0.83837765
Acanthurus_thompsoni,0.6850758
Aethaloperca_rogaa,0.9361428
Anampses_meleagrides_female,0.6872645
Anampses_twistii,0.5528102
Apolemichthys_trimaculatus,0.6609141
Arothron_nigropunctatus,0.50044274
Aulostomus_chinensis,0.7355991
Balistapus_undulatus,0.96147984
Caesio_lunaris,0.7011125
Caesio_xanthonota,0.9724378
Centropyge_multispinis,0.8231977
Chaetodon_kleinii,0.95655274
Chaetodon_trifascialis_adu,0.98569864
Cheilinus_fasciatus,0.5344878
Chlorurus_sordidus_female,0.690311
Chlorurus_strongylocephalus_female,0.79924107
Chromis_nigrura,0.6109655
Chromis_opercularis,0.72580814
Chromis_ternatensis,0.8843429
Chromis_viridis,0.9031499
Chromis_weberi,0.98609966
Ctenochaetus_striatus,0.93656284
Ctenochaetus_truncatus,0.78545576
Gomphosus_caeruleus_female,0.9537808
Gomphosus_caeruleus_male,0.97030705
Gracila_albomarginata,0.72523373
Halichoeres_cosmetus,0.6560357
Halichoeres_hortulanus,0.9317374
Halichoeres_marginatus,0.61258924
Halichoeres_scapularis,0.7355323
Hemigymnus_fasciatus,0.6297471
Labrichthys_unilineatus_adu,0.53734636
Labroides_bicolor_male,0.57202035
Labroides_dimidiatus_adu,0.9797207
Lutjanus_bohar_juv,0.96570677
Monotaxis_grandoculis_juv,0.9803696
Naso_brevirostris_adu,0.63064617
Naso_elegans,0.9884808
Naso_hexacanthus,0.7279312
Naso_vlamingii,0.94616926
Oxycheilinus_digramma_adu,0.5807994
Oxymonacanthus_longirostris,0.8580369
Parupeneus_barberinus,0.81977904
Parupeneus_cyclostomus,0.67525536
Plagiotremus_tapeinosoma,0.52914715
Plectroglyphidodon_lacrymatus,0.8459878
Plectropomus_laevis_adu,0.71028346
Pomacanthus_imperator,0.8796711
Pomacentrus_sulfureus,0.9748667
Pseudanthias_squamipinnis_female,0.520771
Pterocaesio_tile,0.7118735
Pycnochromis_fieldi,0.5511942
Pygoplites_diacanthus,0.8024817
Sargocentron_caudimaculatum,0.6182134
Scarus_tricolor_female,0.7576022
Thalassoma_hardwicke,0.5370214
Thalassoma_hebraicum,0.8505226
Thalassoma_lunare,0.7201381
Zanclus_cornutus,0.96281946
Zebrasoma_scopas,0.98629147
